FISH_KEY,DATE_CATCH,Sesn,Year,LOCATION_ID,ACCESS_CODE,WEIGHT,TOTAL_LENGTH,FORK_LENGTH,SEX,Age,MAT_CODE
468LA_1438_F081_F,27-Apr-87,aSP,1987,468,F081,461,,348,1,,1
468LA_1439_F081_F,27-Apr-87,aSP,1987,468,F081,436,,334,2,,1
468LA_144_F081_F,08-Oct-81,Fa,1981,468,F081,567,426,384,1,8,2
468LA_1440_F081_F,27-Apr-87,aSP,1987,468,F081,1323,,481,2,,1
468LA_1441_F081_F,27-Apr-87,aSP,1987,468,F081,594,,372,2,,1
468LA_1442_F081_F,27-Apr-87,aSP,1987,468,F081,644,,366,2,,1
468LA_1443_F081_F,01-May-87,aSP,1987,468,F081,655,,393,1,,2
468LA_1444_F081_F,01-May-87,aSP,1987,468,F081,334,,320,1,,2
468LA_1445_F081_F,26-May-87,aSP,1987,468,F081,699,,392,1,,2
468LA_1446_F081_F,26-May-87,aSP,1987,468,F081,782,,455,1,,2
468LA_1447_F081_F,26-May-87,aSP,1987,468,F081,1023,,469,1,,2
468LA_1448_F081_F,26-May-87,aSP,1987,468,F081,625,,400,2,,2
468LA_1449_F081_F,26-May-87,aSP,1987,468,F081,974,,445,2,,2
468LA_145_F081_F,08-Oct-81,Fa,1981,468,F081,606,442,396,1,9,2
468LA_1450_F081_F,26-May-87,aSP,1987,468,F081,226,,285,1,,1
468LA_1451_F081_F,26-May-87,aSP,1987,468,F081,4000,,615,1,,2
468LA_1452_F081_F,26-May-87,aSP,1987,468,F081,942,,440,1,,2
468LA_1453_F081_F,26-May-87,aSP,1987,468,F081,518,,368,2,,2
468LA_1455_F081_F,26-May-87,aSP,1987,468,F081,343,,330,1,,1
468LA_1456_F081_F,26-May-87,aSP,1987,468,F081,678,,403,1,,2
468LA_1457_F081_F,01-Jun-87,aSP,1987,468,F081,756,,406,2,,2
468LA_1458_F081_F,01-Jun-87,aSP,1987,468,F081,921,,432,2,,2
468LA_1459_F081_F,01-Jun-87,aSP,1987,468,F081,415,,341,2,,2
468LA_146_F081_F,08-Oct-81,Fa,1981,468,F081,1261,530,480,1,11,2
468LA_1460_F081_F,01-Jun-87,aSP,1987,468,F081,705,,392,2,,2
468LA_1461_F081_F,01-Jun-87,aSP,1987,468,F081,797,,416,2,,2
468LA_1462_F081_F,15-Jun-87,aSP,1987,468,F081,622,,408,2,,2
468LA_1463_F081_F,15-Jun-87,aSP,1987,468,F081,629,,423,2,,2
468LA_1464_F081_F,15-Jun-87,aSP,1987,468,F081,674,,420,2,,2
468LA_1465_F081_F,15-Jun-87,aSP,1987,468,F081,779,,433,2,,2
468LA_1466_F081_F,15-Jun-87,aSP,1987,468,F081,766,,426,2,,2
468LA_1467_F081_F,15-Jun-87,aSP,1987,468,F081,364,,356,2,,1
468LA_1468_F081_F,15-Jun-87,aSP,1987,468,F081,701,,456,1,,2
468LA_1469_F081_F,15-Jun-87,aSP,1987,468,F081,731,,461,2,,2
468LA_147_F081_F,08-Oct-81,Fa,1981,468,F081,642,446,401,1,9,2
468LA_1470_F081_F,15-Jun-87,aSP,1987,468,F081,1030,,475,1,,2
468LA_1471_F081_F,15-Jun-87,aSP,1987,468,F081,691,,390,1,,2
468LA_1472_F081_F,15-Jun-87,aSP,1987,468,F081,617,,405,1,,2
468LA_1473_F081_F,15-Jun-87,aSP,1987,468,F081,731,,449,1,,2
468LA_1474_F081_F,06-Jul-87,Fa,1987,468,F081,1060,,458,1,,2
468LA_1475_F081_F,06-Jul-87,Fa,1987,468,F081,981,,446,1,,2
