FISH_KEY,LOCATION,YEAR,DATE_CATCH,capture_recapture,DATE_CATCH_2,taxon,FISH_NUM,fish_catch_method,ORIG_NUM,WEIGHT,TOTAL_LENGTH,FORK_LENGTH,SEX,AGE,DEAD,COMMENTS
373LA_125_F081_F,373,1988,10/12/1988,F,,F081,125,2,8,820,475,426,,12,,
373LA_33_F081_R,373,1988,10/8/1988,R,,F081,33,2,10,1705,566,520,1,21,,#7;age inferred
373LA_127_F081_F,373,1988,10/12/1988,F,,F081,127,2,11,1035,486,439,,14,,
373LA_128_F081_F,373,1988,10/12/1988,F,,F081,128,2,13,895,471,423,,9,,
373LA_129_F081_F,373,1988,10/12/1988,F,,F081,129,2,15,775,456,413,,10,,
373LA_24_F081_R,373,1988,10/5/1988,R,,F081,24,2,5,965,494,443,1,12,,#14;age inferred
373LA_130_F081_F,373,1988,10/12/1988,F,,F081,130,2,17,798,465,423,2,11,,
373LA_131_F081_F,373,1988,10/12/1988,F,,F081,131,2,18,1630,560,513,,13,,
373LA_132_F081_F,373,1988,10/12/1988,F,,F081,132,2,20,1560,540,496,,19,,
373LA_133_F081_F,373,1988,10/12/1988,F,,F081,133,2,21,439,355,323,,3,Y,+
373LA_134_F081_F,373,1988,10/12/1988,F,,F081,134,2,23,800,448,402,,12,,
373LA_135_F081_F,373,1988,10/12/1988,F,,F081,135,2,25,935,500,453,,18,,
373LA_136_F081_F,373,1988,10/12/1988,F,,F081,136,2,26,920,476,427,,12,,
373LA_137_F081_F,373,1988,10/13/1988,F,,F081,137,1,1,757,441,397,,8,,
373LA_138_F081_F,373,1988,10/13/1988,F,,F081,138,1,2,1205,505,453,2,11,,
373LA_25_F081_R,373,1988,10/5/1988,R,,F081,25,2,7,955,506,458,1,10,,#88;age inferred
373LA_111_F081_F,373,1988,10/8/1988,F,,F081,111,2,13,945,471,426,1,13,,
373LA_104_F081_F,373,1988,10/5/1988,F,,F081,104,2,16,840,458,411,,12,,
373LA_48_F081_R,373,1988,10/12/1988,R,,F081,48,2,19,1300,524,476,1,18,,#4;age inferred
373LA_105_F081_F,373,1988,10/8/1988,F,,F081,105,2,2,1575,537,489,,15,,
373LA_47_F081_R,373,1988,10/12/1988,R,,F081,47,2,16,1460,550,500,1,15,,#2;age inferred
373LA_106_F081_F,373,1988,10/8/1988,F,,F081,106,2,4,910,476,433,,10,,
373LA_46_F081_R,373,1988,10/12/1988,R,,F081,46,2,14,870,483,438,1,7,,#78;age inferred
373LA_107_F081_F,373,1988,10/8/1988,F,,F081,107,2,7,900,471,428,,10,,
373LA_32_F081_R,373,1988,10/8/1988,R,,F081,32,2,8,1115,505,461,1,14,,#80;age inferred
373LA_108_F081_F,373,1988,10/8/1988,F,,F081,108,2,9,1075,493,446,,14,,
373LA_43_F081_R,373,1988,10/12/1988,R,,F081,43,2,5,1405,550,502,,15,,#49;age inferred
373LA_109_F081_F,373,1988,10/8/1988,F,,F081,109,2,11,726,454,407,,9,,
373LA_42_F081_R,373,1988,10/12/1988,R,,F081,42,2,3,1100,502,461,,9,,#89;age inferred
373LA_41_F081_R,373,1988,10/8/1988,R,,F081,41,2,29,1310,536,490,1,,,#22
373LA_118_F081_F,373,1988,10/8/1988,F,,F081,118,2,25,1025,498,452,,15,,
373LA_114_F081_F,373,1988,10/8/1988,F,,F081,114,2,20,1740,592,542,1,24,,
373LA_49_F081_R,373,1988,10/12/1988,R,,F081,49,2,22,1415,525,490,1,18,,#85;age inferred
373LA_117_F081_F,373,1988,10/8/1988,F,,F081,117,2,24,945,488,442,,14,,
373LA_34_F081_R,373,1988,10/8/1988,R,,F081,34,2,14,1190,533,482,1,10,,#82;age inferred
373LA_116_F081_F,373,1988,10/8/1988,F,,F081,116,2,23,890,462,418,1,11,,
